Sweep	g
1689	231.484
1690	231.484
1691	194.307
1692	194.307
1693	194.307
1694	194.307
1695	194.307
1696	194.307
1697	194.307
1698	194.307
1699	194.307
1700	437.768
1701	437.768
1702	269.329
1703	185.327
1704	164.377
1705	213.165
1706	213.165
1707	252.997
1708	252.997
1709	302.281
1710	290.949
1711	290.949
1712	290.949
1713	290.949
1714	290.949
1715	290.949
1716	393.485
1717	240.949
1718	156.574
1719	426.077
1720	392.491
1721	413.966
1722	135.387
1723	135.387
1724	105.04
1725	105.04
1726	105.04
1727	105.04
1728	105.04
1729	105.04
1730	279.896
1731	279.896
1732	279.896
1733	279.896
1734	174.054
1735	145.209
1736	145.209
1737	145.209
1738	145.209
1739	280.695
1740	280.695
1741	280.695
1742	110.425
1743	183.419
1744	393.458
1745	139.84
1746	129.745
1747	129.745
1748	184.94
1749	188.39
1750	188.39
1751	188.39
1752	188.39
1753	188.39
1754	188.39
1755	115.56
1756	192.702
1757	168.543
1758	299.442
1759	402.72
1760	186.903
1761	186.903
1762	186.903
1763	186.903
1764	186.903
1765	182.45
1766	347.578
1767	209.107
1768	209.107
1769	209.107
1770	189.153
1771	189.153
1772	529.287
1773	529.287
1774	529.287
1775	529.287
1776	529.287
1777	106.957
1778	168.456
1779	168.456
1780	168.456
1781	168.456
1782	168.456
1783	168.456
1784	196.996
1785	340.452
1786	340.452
1787	340.452
1788	340.452
1789	147.247
1790	147.247
1791	147.247
1792	147.247
1793	147.247
1794	147.247
1795	161.065
1796	161.065
1797	161.065
1798	224.733
1799	224.733
1800	139.479
1801	139.479
1802	191.423
1803	191.423
1804	191.423
1805	191.423
1806	136.815
1807	136.815
1808	136.815
1809	136.815
1810	136.815
1811	136.815
1812	136.815
1813	136.815
1814	136.815
1815	220.772
1816	220.772
1817	220.772
1818	140.718
1819	140.718
1820	140.718
1821	364.246
1822	151.171
1823	476.603
1824	211.161
1825	224.564
1826	342.693
1827	221.968
1828	221.968
1829	221.968
1830	221.968
1831	268.373
1832	218.121
1833	218.121
1834	301.602
1835	308.812
1836	308.812
1837	308.812
1838	308.812
1839	238.221
1840	428.92
1841	507.977
1842	127.044
1843	127.044
1844	127.044
1845	127.044
1846	370.88
1847	370.88
1848	370.88
1849	370.88
1850	370.88
1851	370.88
1852	158.091
1853	158.091
1854	158.091
1855	130.586
1856	143.399
1857	440.975
1858	183.77
1859	217.328
1860	142.745
1861	802.384
1862	820.749
1863	820.749
1864	820.749
1865	378.965
1866	378.965
1867	378.965
1868	378.965
1869	378.965
1870	378.965
1871	433.764
1872	147.448
1873	147.448
1874	178.411
1875	178.411
1876	174.469
1877	268.309
1878	268.309
1879	268.309
1880	268.309
1881	268.309
1882	268.309
1883	268.309
1884	268.309
1885	268.309
1886	199.494
1887	199.494
1888	129.977
1889	129.977
1890	129.977
1891	129.977
1892	129.977
1893	133.982
1894	125.098
1895	190.586
1896	190.586
1897	190.586
1898	265.068
1899	265.068
1900	265.068
1901	166.099
1902	292.679
1903	292.679
1904	289.784
1905	366.339
1906	366.339
1907	582.14
1908	582.14
1909	582.14
1910	582.14
1911	564.453
1912	564.453
1913	564.453
1914	281.057
1915	281.057
1916	281.057
1917	193.698
1918	193.698
1919	193.698
1920	193.698
1921	193.698
1922	171.338
1923	171.338
1924	249.377
1925	249.377
1926	249.377
1927	110.762
1928	110.762
1929	134.357
1930	134.357
1931	134.357
1932	122.018
1933	414.703
1934	262.851
1935	396.933
1936	408.564
1937	548.008
1938	548.008
1939	508.865
1940	508.865
1941	457.877
1942	457.877
1943	247.212
1944	247.212
1945	217.056
1946	217.056
1947	217.056
1948	217.056
1949	384.036
1950	384.036
1951	83.8923
1952	83.8923
1953	83.8923
1954	83.8923
1955	83.8923
1956	278.868
1957	278.868
1958	363.26
1959	363.26
1960	363.26
1961	363.26
1962	814.678
1963	836.439
1964	836.439
1965	836.439
1966	421.7
1967	421.7
1968	421.7
1969	421.7
1970	421.7
1971	215.005
1972	208.95
1973	208.95
1974	208.95
1975	322.745
1976	278.823
1977	278.823
1978	281.294
1979	281.294
1980	281.294
1981	303.905
1982	236.527
1983	236.527
1984	236.527
1985	236.527
1986	86.3362
1987	92.2539
1988	178.777
1989	178.777
1990	178.777
1991	245.068
1992	245.068
1993	216.408
1994	216.408
1995	216.408
1996	173.85
1997	173.85
1998	173.85
1999	196.571
2000	351.628
2001	176.335
2002	176.335
2003	420.153
2004	420.153
2005	420.153
2006	420.153
2007	280.437
2008	280.437
2009	477.071
2010	477.071
2011	477.071
2012	477.071
2013	212.941
2014	150.544
2015	150.544
2016	150.544
2017	140.652
2018	140.652
2019	140.652
2020	140.652
2021	130.118
2022	126.567
2023	163.08
2024	238.467
2025	369.603
2026	281.325
2027	180.582
2028	346.271
2029	346.271
2030	346.271
2031	346.271
2032	346.271
2033	346.271
2034	195.7
2035	195.7
2036	195.7
2037	195.7
2038	171.145
2039	171.145
2040	171.145
2041	171.145
2042	171.145
2043	171.145
2044	171.145
2045	171.145
2046	176.004
2047	137.042
2048	137.042
2049	190.133
2050	190.133
2051	190.133
2052	190.133
2053	190.133
2054	190.133
2055	190.133
2056	190.133
2057	190.133
2058	357.728
2059	261.122
2060	546.417
2061	546.417
2062	384.019
2063	384.019
2064	384.019
2065	384.019
2066	384.019
2067	384.019
2068	985.694
2069	351.896
2070	300.927
2071	348.932
2072	348.932
2073	135.52
2074	152.86
2075	152.86
2076	152.86
2077	279.03
2078	279.03
2079	279.03
2080	279.03
2081	279.03
2082	279.03
2083	279.03
2084	279.03
2085	421.134
2086	202.061
2087	202.061
2088	246.639
2089	323.201
2090	244.973
2091	244.973
2092	187.943
2093	187.943
2094	155.059
2095	155.059
2096	155.059
2097	253.455
2098	253.455
2099	253.455
2100	91.647
2101	522.151
2102	361.404
2103	243.208
2104	277.094
2105	277.094
2106	277.094
2107	277.094
2108	232.629
2109	379.946
2110	379.946
2111	584.369
2112	487.628
2113	487.628
2114	460.813
2115	460.813
2116	460.813
2117	460.813
2118	372.255
2119	372.255
2120	233.888
2121	233.888
2122	296.663
2123	181.605
2124	181.605
2125	181.605
2126	181.605
2127	181.605
2128	238.876
2129	336.414
2130	431.568
2131	431.568
2132	431.568
2133	186.359
2134	186.359
2135	186.359
2136	186.359
