Sweep	Chain_1	Chain_2	Chain_3	
42894	-3520.192849451	-3535.071542607	-3533.47105132	
42895	-3520.212559538	-3533.535069145	-3535.177905797	
42896	-3520.640610761	-3533.159841579	-3534.051710017	
42897	-3520.357150013	-3535.737953731	-3533.891541132	
42898	-3523.066026942	-3524.902232348	-3531.642669863	
42899	-3520.357150013	-3526.701217111	-3529.412574272	
42900	-3526.114554195	-3520.157464768	-3528.63277056	
42901	-3520.157464768	-3526.114554195	-3528.63277056	
42902	-3523.1783446	-3528.496438319	-3544.462011819	
42903	-3523.1783446	-3524.434637151	-3528.0064624	
42904	-3523.1783446	-3524.434637151	-3528.0064624	
42905	-3522.948799767	-3524.434637151	-3528.217876169	
42906	-3522.671984427	-3526.423585369	-3534.554253182	
42907	-3520.357355722	-3526.067664507	-3533.861629225	
42908	-3520.387364866	-3535.556377454	-3526.924412492	
42909	-3520.387364866	-3526.924412492	-3535.556377454	
42910	-3520.180967965	-3526.123840816	-3534.154550328	
42911	-3520.155742464	-3527.203587955	-3530.810452698	
42912	-3523.816880817	-3523.149388064	-3531.646477632	
42913	-3523.297202237	-3530.588527349	-3522.63117975	
42914	-3526.735403592	-3526.623416343	-3534.333340637	
42915	-3520.159236335	-3523.138559845	-3526.027223083	
42916	-3520.159236335	-3522.63117975	-3528.692678264	
42917	-3520.654186097	-3520.654186097	-3532.730827816	
42918	-3520.505761218	-3523.797290167	-3536.273279213	
42919	-3520.410125607	-3523.210093724	-3534.194255469	
42920	-3520.25406456	-3531.110037541	-3530.462641486	
42921	-3520.202424345	-3530.270735568	-3530.917892095	
42922	-3520.202424345	-3522.797994978	-3544.863071652	
42923	-3520.202424345	-3522.797994978	-3544.863071652	
42924	-3520.202424345	-3530.58910841	-3554.21007482	
42925	-3520.202424345	-3530.58910841	-3554.21007482	
42926	-3524.464027269	-3526.661860024	-3554.21007482	
42927	-3524.566269529	-3524.464027269	-3539.451395174	
42928	-3522.618855475	-3524.450953498	-3540.311772888	
42929	-3522.611588264	-3524.443285576	-3540.263478275	
42930	-3523.134770113	-3527.646321791	-3551.585873657	
42931	-3523.134770113	-3527.646321791	-3551.585873657	
42932	-3523.134770113	-3527.646321791	-3551.585873657	
42933	-3523.134770113	-3532.224334538	-3535.147526254	
42934	-3520.179415402	-3527.428562888	-3528.195967885	
42935	-3520.261089191	-3527.097276437	-3527.862957156	
42936	-3520.261089191	-3526.647994118	-3544.067338061	
42937	-3520.155696207	-3526.816944211	-3544.928581517	
42938	-3523.320433425	-3524.573317726	-3544.928581517	
42939	-3524.525895659	-3523.27429959	-3544.322709791	
42940	-3520.201858823	-3527.056572225	-3530.78235385	
42941	-3520.201858823	-3527.056572225	-3530.78235385	
42942	-3520.201858823	-3527.056572225	-3530.78235385	
42943	-3520.799501011	-3530.168475118	-3534.743013372	
42944	-3522.986743615	-3534.743013372	-3528.186816646	
42945	-3520.458561629	-3529.757341448	-3538.357353593	
42946	-3520.458561629	-3535.000994112	-3546.034291608	
42947	-3520.458561629	-3535.000994112	-3546.034291608	
42948	-3520.458561629	-3533.951423202	-3545.917813795	
42949	-3521.702032462	-3536.027176008	-3548.824346577	
42950	-3521.561833359	-3535.810203053	-3548.530692702	
42951	-3521.561833359	-3535.810203053	-3548.530692702	
42952	-3522.661569108	-3525.544663999	-3537.412921029	
42953	-3522.661569108	-3525.544663999	-3537.412921029	
42954	-3522.661569108	-3525.544663999	-3537.412921029	
42955	-3522.661569108	-3525.544663999	-3537.412921029	
42956	-3520.313136766	-3520.313136766	-3536.20979843	
42957	-3520.206807885	-3520.206807885	-3535.769433675	
42958	-3520.334580953	-3527.326465106	-3547.62296955	
42959	-3527.326465106	-3520.334580953	-3547.62296955	
42960	-3520.334580953	-3527.326465106	-3547.62296955	
42961	-3520.243157933	-3532.606177823	-3548.235851981	
