Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
1668	14	8	5	4	9	4
1669	11	3	6	1	5	2
1670	15	5	8	2	7	3
1671	16	5	10	3	6	2
1674	15	8	7	4	8	4
1675	19	11	12	7	7	4
1683	16	8	8	4	8	4
1685	19	9	10	4	9	5
1686	18	9	9	5	9	4
1688	17	9	7	4	10	5
1689	14	3	5	0	9	3
1690	16	7	8	5	8	2
1692	18	13	8	7	10	6
1695	18	9	7	5	11	4
1696	19	9	8	3	11	6
1700	18	8	8	4	10	4
1702	20	12	11	6	9	6
1707	16	11	9	6	7	5
1711	26	11	14	4	12	7
1715	17	7	9	5	8	2
1716	13	5	2	0	11	5
1717	19	8	14	8	5	0
1719	19	8	12	5	7	3
1720	21	11	7	2	14	9
1721	18	8	9	4	9	4
1722	18	7	9	4	9	3
1726	16	7	6	2	10	5
1730	17	8	12	6	5	2
1732	17	6	7	2	10	4
1733	16	8	8	4	8	4
1734	16	6	6	2	10	4
1735	12	4	6	3	6	1
1737	17	7	7	4	10	3
1738	16	7	9	3	7	4
1739	15	6	7	3	8	3
1743	12	5	3	2	9	3
1746	17	5	9	3	8	2
1747	12	7	6	5	6	2
1751	18	11	7	5	11	6
1752	15	8	5	4	10	4
1755	15	8	6	3	9	5
1756	17	7	9	5	8	2
1757	16	8	5	3	11	5
1758	19	7	10	4	9	3
1760	19	10	10	5	9	5
1761	15	11	5	5	10	6
1763	16	7	8	4	8	3
1764	15	7	4	3	11	4
1765	17	10	8	5	9	5
1766	18	10	11	7	7	3
1767	14	5	7	1	7	4
1770	19	10	9	5	10	5
1771	20	10	10	6	10	4
1775	19	12	7	4	12	8
1778	18	7	11	4	7	3
1780	15	9	7	5	8	4
1782	17	7	9	5	8	2
1783	19	5	7	0	12	5
1785	14	7	8	6	6	1
1788	25	17	12	9	13	8
1789	23	17	12	8	11	9
1791	14	8	6	3	8	5
1792	16	11	7	5	9	6
1795	16	8	6	3	10	5
1796	14	7	6	4	8	3
1797	13	5	7	3	6	2
1799	16	4	7	2	9	2
1800	13	7	3	3	10	4
1801	18	7	9	3	9	4
1802	11	4	4	1	7	3
1803	16	6	9	4	7	2
1805	19	9	10	6	9	3
1806	15	5	7	2	8	3
1807	19	8	9	4	10	4
1810	17	10	6	5	11	5
1811	13	8	6	4	7	4
1812	16	9	11	7	5	2
1815	13	10	3	3	10	7
1816	20	11	8	3	12	8
1817	15	6	9	5	6	1
1818	20	8	8	3	12	5
1819	14	3	5	1	9	2
1820	13	2	7	2	6	0
1821	12	6	5	3	7	3
1822	13	5	4	1	9	4
1823	14	1	6	0	8	1
1824	9	4	5	4	4	0
1825	19	9	10	3	9	6
1830	13	4	7	4	6	0
1831	23	13	12	7	11	6
1832	16	9	7	4	9	5
1833	14	8	4	3	10	5
1838	13	4	4	1	9	3
1846	18	8	11	7	7	1
1851	15	8	3	2	12	6
1853	14	6	6	4	8	2
1855	13	5	3	1	10	4
1858	16	8	8	5	8	3
1860	18	7	7	4	11	3
1862	13	7	5	3	8	4
1863	14	9	5	5	9	4
1865	15	8	5	3	10	5
1869	13	6	5	3	8	3
1872	14	4	6	2	8	2
1876	17	7	8	4	9	3
1877	18	8	10	5	8	3
1879	19	9	9	2	10	7
1882	16	7	10	5	6	2
1883	14	4	4	0	10	4
1884	10	3	4	2	6	1
1886	18	5	11	4	7	1
1887	16	9	7	4	9	5
1889	10	5	4	2	6	3
1891	18	9	10	5	8	4
1892	20	10	11	5	9	5
1893	20	10	11	6	9	4
1894	18	10	6	5	12	5
1895	14	5	5	2	9	3
1896	13	7	3	2	10	5
1897	14	5	6	3	8	2
1898	18	9	10	6	8	3
1899	24	13	14	9	10	4
1903	19	12	10	6	9	6
1904	24	13	8	3	16	10
1905	13	6	7	4	6	2
1906	12	5	4	2	8	3
1914	13	5	3	1	10	4
1916	14	5	6	2	8	3
1917	14	6	9	5	5	1
1918	16	9	8	5	8	4
1921	15	8	5	4	10	4
1922	18	8	7	3	11	5
1923	17	10	8	6	9	4
1925	18	8	10	5	8	3
1926	21	8	8	3	13	5
1927	23	10	13	6	10	4
1930	15	7	5	2	10	5
1931	22	9	12	4	10	5
1932	16	7	9	5	7	2
1933	16	6	4	1	12	5
1935	13	5	4	2	9	3
1936	16	5	10	4	6	1
1938	19	9	11	5	8	4
1939	16	9	5	3	11	6
1941	12	5	6	3	6	2
1942	17	8	8	3	9	5
1944	11	6	5	4	6	2
1947	16	8	7	4	9	4
1948	16	10	8	6	8	4
1949	20	9	9	3	11	6
1950	15	4	9	1	6	3
1951	14	4	9	3	5	1
