Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1940	2	2	1	2
1941	2	2	1	3
1943	1	1	2	1
1944	3	1	2	1
1945	2	2	1	2
1955	2	2	1	3
1959	2	2	2	1
1960	2	2	1	2
1963	3	1	1	2
1964	1	1	1	2
1965	3	2	1	2
1970	3	5	1	3
1973	3	1	2	3
1974	2	2	3	1
1976	3	1	1	2
1978	1	1	1	2
1985	3	1	1	2
1989	3	2	2	1
1993	3	1	2	1
1996	3	2	1	3
2002	1	1	2	1
2003	3	5	1	2
2004	2	2	1	2
2005	2	2	1	2
2022	2	2	1	2
2028	2	2	1	2
2031	2	2	3	1
2032	1	1	1	3
2033	2	2	3	1
2034	1	1	2	1
2035	2	2	1	2
2037	1	1	1	2
2038	2	2	1	2
2039	1	1	1	3
2040	3	4	1	2
2041	1	1	1	2
2042	2	2	1	2
2044	3	2	1	2
2046	2	2	1	2
2049	3	1	1	2
2054	2	2	1	2
2056	2	2	2	1
2060	3	4	1	2
2061	2	2	1	2
2062	1	1	2	1
2063	2	2	1	2
2068	3	4	2	1
2069	1	1	1	2
2070	1	1	2	1
2073	2	2	2	1
2081	2	2	2	1
2082	2	2	2	1
2085	1	1	1	2
2088	2	2	3	1
2092	3	2	1	2
2094	3	1	1	2
2095	3	2	1	2
2099	3	4	1	2
2103	1	1	2	1
2104	3	5	2	1
2105	2	2	1	2
2106	3	1	1	2
2108	2	2	1	2
2110	1	1	1	2
2112	3	1	1	3
2114	2	2	1	3
2117	3	1	1	3
2119	1	1	1	2
2121	3	2	1	2
2122	3	2	1	3
2124	3	4	2	1
2129	2	2	1	2
2133	1	1	1	2
2135	3	2	1	2
2138	1	1	1	2
2140	1	1	1	2
2141	3	5	1	2
2142	3	2	1	2
2144	2	2	1	2
2149	3	2	1	3
2151	2	2	2	1
2152	1	1	2	1
2153	3	4	1	2
2154	1	1	2	1
2160	1	1	1	2
2162	2	2	1	2
2166	2	2	1	2
2167	2	2	1	2
2169	1	1	2	1
2171	1	1	2	1
2172	2	2	2	1
2173	1	1	2	1
2175	3	5	1	2
2181	3	1	1	2
2182	3	1	1	2
2187	3	2	1	2
2189	3	1	1	3
2193	1	1	2	1
2194	3	1	2	1
2195	3	4	2	1
2199	3	1	2	1
2200	3	1	2	1
2203	3	1	1	2
2209	1	1	1	3
2210	3	1	1	2
2213	3	4	2	1
2214	3	1	1	3
2221	1	1	1	3
2232	3	4	1	3
2233	3	1	1	3
2236	1	1	1	3
2237	1	1	1	3
2238	3	2	1	3
2247	2	2	1	3
2250	3	2	1	2
2251	1	1	2	1
2253	1	1	1	2
2255	2	2	1	3
2257	3	1	1	3
2260	3	4	2	1
2261	1	1	1	2
2263	2	2	2	1
2264	2	2	1	2
2265	1	1	1	2
2267	1	1	1	2
2270	1	1	1	3
2274	1	1	2	1
2279	3	2	1	2
2280	2	2	1	2
2281	2	2	1	2
2283	1	1	1	2
2286	2	2	1	2
2287	2	2	1	2
2290	2	2	2	1
2294	3	2	2	1
2295	1	1	2	1
2300	3	1	1	2
2302	1	1	1	2
2304	1	1	1	2
2305	1	1	2	1
2308	3	4	2	1
2311	1	1	1	2
2317	3	2	2	1
2320	3	1	2	1
2328	2	2	1	2
2330	2	2	2	1
2333	2	2	1	2
2334	1	1	1	2
2335	2	2	2	1
2336	1	1	2	1
2337	3	2	2	1
2341	3	2	2	1
2343	3	2	1	2
2344	1	1	1	2
2346	1	1	2	1
2350	3	1	1	2
2355	3	5	2	3
2357	3	1	1	2
2358	3	1	1	2
2359	3	4	1	2
2360	2	2	1	2
2363	2	2	3	1
2364	3	1	2	1
2365	3	2	2	1
